pdb_id,true_affinity,pred_mean,pred_std,residual_mean,mae_mean,ligand_size,pocket_size
2l65,4.221848964691162,5.2323973178863525,0.3409528315876688,1.0105483531951904,1.0105483531951904,134,24
2l75,6.045757293701172,7.394868850708008,,1.349111557006836,1.349111557006836,194,29
2l84,7.721246242523193,4.966686248779297,,-2.7545599937438965,2.7545599937438965,39,18
2l8j,5.522878646850586,4.923789024353027,0.07362683542586292,-0.5990896224975586,0.5990896224975586,251,31
2l8r,3.9233596324920654,7.574057579040527,,3.650697946548462,3.650697946548462,57,39
2lbv,7.585026741027832,4.615324020385742,,-2.96970272064209,2.96970272064209,53,36
2lcs,6.698969841003418,6.324339866638184,,-0.3746299743652344,0.3746299743652344,240,27
2lgf,5.568636417388916,7.018912315368652,,1.4502758979797363,1.4502758979797363,286,56
2lkk,6.698969841003418,6.075746059417725,,-0.6232237815856934,0.6232237815856934,53,29
2ll6,10.0,5.89046573638916,,-4.10953426361084,4.10953426361084,302,57
2llq,5.823908805847168,6.994481086730957,,1.170572280883789,1.170572280883789,324,36
2lnw,5.853871822357178,5.475834369659424,,-0.3780374526977539,0.3780374526977539,140,27
2loz,4.062983989715576,6.302773714065552,0.09276453922290159,2.2397897243499756,2.2397897243499756,218,35
2lp8,7.515700340270996,3.7732138633728023,,-3.742486476898194,3.742486476898194,271,38
2lsp,3.5622494220733643,6.049868106842041,,2.4876186847686768,2.4876186847686768,239,34
2lsv,5.266802787780762,4.628346920013428,0.06506057275972073,-0.638455867767334,0.638455867767334,129,23
2lto,3.113509178161621,4.9564361572265625,,1.8429269790649412,1.8429269790649412,206,13
2ltv,5.161150932312012,4.719635963439941,,-0.4415149688720703,0.4415149688720703,190,20
2lty,5.376750946044922,5.350192070007324,,-0.0265588760375976,0.0265588760375976,239,21
2lwi,3.1118204593658447,4.675055027008057,,1.563234567642212,1.563234567642212,34,13
2ly0,4.79587984085083,6.13646411895752,,1.3405842781066897,1.3405842781066897,45,29
2lya,4.187086582183838,4.418747186660767,0.20619688143118134,0.23166060447692866,0.23166060447692866,82,15
2lzg,7.77211332321167,6.678367614746094,0.07744904882361887,-1.0937457084655762,1.0937457084655762,51,24
2m0u,6.43770694732666,4.775614261627197,,-1.662092685699463,1.662092685699463,89,22
2mg5,6.15490198135376,6.604445457458496,,0.4495434761047363,0.4495434761047363,249,70
2mov,7.397940158843994,4.397295951843262,,-3.0006442070007324,3.0006442070007324,35,17
2mow,5.962573528289795,6.867921352386475,,0.9053478240966796,0.9053478240966796,176,26
