pdb_id,true_affinity,predicted_affinity,residual,absolute_error,squared_error,run,abs_error
3psb,8.522878646850586,7.40503454208374,-1.1178441047668457,1.1178441047668457,1.2495754425619907,run_054,1.1178441047668457
2y8l,5.823908805847168,5.645383358001709,-0.17852544784545898,0.1785254478454589,0.0318713355284216,run_054,0.17852544784545898
3at3,8.036211967468262,7.8633198738098145,-0.17289209365844727,0.1728920936584472,0.0298916760496013,run_054,0.17289209365844727
3avz,7.187086582183838,6.249011993408203,-0.9380745887756348,0.9380745887756348,0.8799839341065763,run_054,0.9380745887756348
2y1g,6.15490198135376,5.128099918365479,-1.0268020629882804,1.0268020629882812,1.0543224765569903,run_054,1.0268020629882804
3au6,7.92081880569458,6.0756001472473145,-1.8452186584472656,1.8452186584472656,3.4048318974819267,run_054,1.8452186584472656
3qxm,7.481485843658447,6.418962478637695,-1.062523365020752,1.062523365020752,1.128955901215022,run_054,1.062523365020752
3pj3,5.251811981201172,7.324501037597656,2.0726890563964844,2.0726890563964844,4.296039924505749,run_054,2.0726890563964844
3myq,7.522878646850586,7.642152786254883,0.11927413940429688,0.1192741394042968,0.0142263203306356,run_054,0.11927413940429688
3rmf,4.086185932159424,5.9017181396484375,1.8155322074890137,1.8155322074890137,3.296157196429931,run_054,1.8155322074890137
3rlp,7.07572078704834,6.209022045135498,-0.8666987419128418,0.8666987419128418,0.7511667092333028,run_054,0.8666987419128418
2xln,4.481485843658447,4.943774700164795,0.46228885650634766,0.4622888565063476,0.2137109868499465,run_054,0.46228885650634766
3r5m,4.340083599090576,6.267044544219971,1.9269609451293945,1.9269609451293943,3.7131784840539694,run_054,1.9269609451293945
3rtm,4.415668964385986,7.573385238647461,3.1577162742614746,3.1577162742614746,9.971172068735768,run_054,3.1577162742614746
3r22,7.769551277160644,7.05255937576294,-0.7169919013977033,0.7169919013977051,0.5140773866698964,run_054,0.7169919013977033
2ndo,3.24795150756836,6.3613104820251465,3.1133589744567867,3.113358974456787,9.693004103830615,run_054,3.1133589744567867
2ykj,6.214670181274414,6.724720478057861,0.5100502967834473,0.5100502967834473,0.2601513052488826,run_054,0.5100502967834473
3qk5,7.744727611541748,7.453527450561523,-0.2912001609802246,0.2912001609802246,0.0847975337549087,run_054,0.2912001609802246
2yc0,2.823908805847168,4.782785892486572,1.9588770866394043,1.9588770866394043,3.83719944056088,run_054,1.9588770866394043
3ppq,4.552842140197754,4.036703109741211,-0.516139030456543,0.516139030456543,0.2663994987606202,run_054,0.516139030456543
2m0u,6.43770694732666,4.329532623291016,-2.1081743240356445,2.1081743240356445,4.444398980523147,run_054,2.1081743240356445
2n27,6.552842140197754,6.3379340171813965,-0.21490812301635742,0.2149081230163574,0.0461855013384138,run_054,0.21490812301635742
3q3k,8.130767822265625,7.632595062255859,-0.4981727600097656,0.4981727600097656,0.2481760988157475,run_054,0.4981727600097656
2y6c,5.0,6.542191982269287,1.542191982269287,1.542191982269287,2.378356110175673,run_054,1.542191982269287
3ozj,5.113509178161621,6.368951320648193,1.2554421424865723,1.2554421424865725,1.5761349731312748,run_054,1.2554421424865723
3atu,8.301030158996582,5.316401481628418,-2.984628677368164,2.984628677368164,8.908008341768436,run_054,2.984628677368164
3r4m,5.92081880569458,6.842373847961426,0.9215550422668457,0.9215550422668456,0.8492636959274478,run_054,0.9215550422668457
3r93,6.508638381958008,5.7752461433410645,-0.7333922386169434,0.7333922386169434,0.5378641756635716,run_054,0.7333922386169434
3pbb,7.022276401519775,5.871380805969238,-1.150895595550537,1.150895595550537,1.3245606718576255,run_054,1.150895595550537
3pgu,6.698969841003418,5.476263523101807,-1.2227063179016113,1.222706317901611,1.4950107398365162,run_054,1.2227063179016113
3qx8,2.863279342651367,4.482212066650391,1.6189327239990234,1.6189327239990234,2.620943164834898,run_054,1.6189327239990234
2ylp,4.301030158996582,5.384583950042725,1.0835537910461426,1.0835537910461426,1.1740888180904676,run_054,1.0835537910461426
3oli,7.380906581878662,6.236336708068848,-1.1445698738098145,1.1445698738098145,1.3100401960330146,run_054,1.1445698738098145
2ndg,4.712198257446289,5.226200103759766,0.5140018463134766,0.5140018463134766,0.2641978980136628,run_054,0.5140018463134766
3aya,4.327902317047119,3.587579727172852,-0.7403225898742671,0.7403225898742676,0.548077537078143,run_054,0.7403225898742671
2xpk,11.301030158996582,6.072726726531982,-5.2283034324646,5.2283034324646,27.335156781921118,run_054,5.2283034324646
3oev,8.130767822265625,6.418806552886963,-1.711961269378662,1.711961269378662,2.9308113878526,run_054,1.711961269378662
3n2p,7.823908805847168,7.030267238616943,-0.7936415672302246,0.7936415672302246,0.6298669372356471,run_054,0.7936415672302246
3qai,8.09691047668457,6.888695240020752,-1.2082152366638184,1.2082152366638184,1.4597840581066066,run_054,1.2082152366638184
2lzg,7.77211332321167,6.894877433776856,-0.8772358894348136,0.8772358894348145,0.76954280571249,run_054,0.8772358894348136
3qt7,7.309803962707519,4.992516040802002,-2.3172879219055167,2.3172879219055176,5.369823313009192,run_054,2.3172879219055167
